year,month,zip,noise_count,pop_total,borough,noise_per_1000
2023,2,11233,268,82711.0,Brooklyn,3.2401977971491096
2023,2,11234,132,87778.0,Brooklyn,1.5037936612818703
2023,2,11235,212,81958.0,Brooklyn,2.5866907440396303
2023,2,11236,127,95174.0,Brooklyn,1.3343980498875745
2023,2,11237,381,45233.0,Brooklyn,8.423053965025534
2023,2,11238,513,58462.0,Brooklyn,8.774930724231124
2023,2,11239,38,16047.0,Brooklyn,2.3680438711285596
2023,2,11249,280,45353.0,Brooklyn,6.173792251890723
2023,3,10301,143,39799.0,Staten Island,3.593055101886982
2023,3,10302,44,19693.0,Staten Island,2.2342964505154117
2023,3,10303,41,25993.0,Staten Island,1.577347747470473
2023,3,10304,170,45843.0,Staten Island,3.7083087930545555
2023,3,10305,41,41714.0,Staten Island,0.9828834444071534
2023,3,10306,110,57249.0,Staten Island,1.921430942025188
2023,3,10307,47,14821.0,Staten Island,3.1711760340058026
2023,3,10308,15,29996.0,Staten Island,0.5000666755567409
2023,3,10309,27,,Staten Island,
2023,3,10310,76,25824.0,Staten Island,2.942998760842627
2023,3,10312,60,63345.0,Staten Island,0.947193937958797
2023,3,10314,158,93539.0,Staten Island,1.689135013203049
2023,3,11201,1163,69251.0,Brooklyn,16.79398131434925
2023,3,11203,292,76853.0,Brooklyn,3.799461309252729
2023,3,11204,219,81368.0,Brooklyn,2.6914757644282763
2023,3,11205,311,50205.0,Brooklyn,6.194602131261827
2023,3,11206,544,89231.0,Brooklyn,6.096535957234593
2023,3,11207,546,93445.0,Brooklyn,5.843009256782064
2023,3,11208,292,106901.0,Brooklyn,2.7314992376123706
2023,3,11209,287,70756.0,Brooklyn,4.056193114364859
2023,3,11210,232,60398.0,Brooklyn,3.841186794264711
2023,3,11211,440,65691.0,Brooklyn,6.698025604725153
2023,3,11212,488,87946.0,Brooklyn,5.548859527437291
2023,3,11213,287,69630.0,Brooklyn,4.121786586241563
2023,3,11214,208,88994.0,Brooklyn,2.3372362181720114
2023,3,11215,366,70922.0,Brooklyn,5.1605989678802064
2023,3,11216,466,59913.0,Brooklyn,7.777944686462036
2023,3,11217,276,42569.0,Brooklyn,6.48359134581503
2023,3,11218,286,71313.0,Brooklyn,4.010488971155329
2023,3,11219,125,94737.0,Brooklyn,1.3194422453740353
2023,3,11220,398,90792.0,Brooklyn,4.383646136223456
2023,3,11221,656,90750.0,Brooklyn,7.228650137741046
2023,3,11222,240,41418.0,Brooklyn,5.794582065768506
2023,3,11223,192,78566.0,Brooklyn,2.4438052083598505
2023,3,11224,256,48469.0,Brooklyn,5.28172646433803
2023,3,11225,486,56544.0,Brooklyn,8.595076400679117
2023,3,11226,725,100022.0,Brooklyn,7.248405350822819
