"License Permit ID","Premises County","Type","Class","Description","LegalName","DBA","Actual Address Of Premises","Additional Address Information","City","State Name","Zip Code","Original Issue Date","Last Issue Date","Effective Date","Expiration Date","Parent License ID","Legacy Serial Number","AKA Address","Georeference"
"0340-24-117235-01","Richmond","1","0426","Additional Bar-Seasonal","SEASIDE BLVD LLC","{2nd Floor Tiki Bar}","809 FATHER CAPONDANNO BLVD",,"STATEN ISLAND","New York","10305","03/06/2025","03/06/2025","04/01/2025","10/31/2025","0340-24-117235","6025559",,"POINT (-74.08271 40.57602)"
"0340-25-106195","Richmond","1","0340","Restaurant","CAPPY FOOD CORP","MY PIZZA R US","124 OCEAN AVE",,"STATEN ISLAND","New York","10305","04/01/2025","04/01/2025","04/01/2025","03/31/2027",,"6055701",,"POINT (-74.06296 40.5954)"
"0340-23-128921","Richmond","1","0340","Restaurant","TAQUERIA ROQUETA INC","LA FORTUNA MEXICAN RESTAURANT","2047 RICHMOND TERRACE",,"STATEN ISLAND","New York","10302","04/21/2025","04/21/2025","06/01/2025","05/31/2027",,"1351421",,"POINT (-74.13126 40.64042)"
"0340-23-128687","Richmond","1","0340","Restaurant","LOS CHARROS RESTAURANT & BAR INC",,"244 PORT RICHMOND AVE",,"STATEN ISLAND","New York","10305","03/31/2025","03/31/2025","04/01/2025","03/31/2027",,"1346112",,"POINT (-74.13524 40.63529)"
"0340-23-132206","Richmond","1","0340","Restaurant","IYOCI INC","ROMANCE BAR & RESTAURANT","163 VAN PELT AVENUE","WALKER & LINDEN AVENUES","STATEN ISLAND","New York","10302","01/23/2025","01/23/2025","02/01/2025","01/31/2027",,"1172336",,"POINT (-74.1552 40.6323)"
"0340-23-135588","Richmond","1","0340","Restaurant","PMB GROUP LLC","PRIMO PIZZERIA & RESTAURANT","1282 RICHMOND ROAD",,"STATEN ISLAND","New York","10304","04/30/2025","04/30/2025","05/01/2025","04/30/2027",,"1349188",,"POINT (-74.09503 40.59627)"
"0340-23-134209","Richmond","1","0340","Restaurant","SOGNO ITALIANO RISTORANTE INC","IL SOGNO","26 JEFFERSON BLVD",,"STATEN ISLAND","New York","10312","09/22/2025","09/22/2025","10/01/2025","09/30/2027",,"1256023",,"POINT (-74.17823 40.54126)"
"0340-23-127275","Richmond","1","0340","Restaurant","DUET INC","LA STRADA RESTAURANT","139 143 NEW DORP LANE",,"STATEN ISLAND","New York","10306","05/20/2025","05/20/2025","05/01/2025","04/30/2027",,"1043130",,"POINT (-74.11568 40.57363)"
"0340-23-136439","Richmond","1","0340","Restaurant","BREAKING BREAD SI INC","BREAKING BREAD SI","27 SEGUINE AVE","STORE 7 & 8","STATEN ISLAND","New York","10309","04/30/2025","04/30/2025","05/01/2025","04/30/2027",,"1349519",,"POINT (-74.20081 40.52583)"
"0340-23-128042","Richmond","1","0340","Restaurant","MIGHTY CRAB STATEN ISLAND INC THE","THE MIGHTY CRAB","2655 RICHMOND AVE","SPACE 1195","STATEN ISLAND","New York","10314","08/01/2025","08/01/2025","09/01/2025","08/31/2027",,"1355480",,"POINT (-74.16708 40.58075)"
"0340-23-135996","Richmond","1","0340","Restaurant","TU TIPICO DOMINICANO CORP",,"1195 CASTLETON AVE",,"STATEN ISLAND","New York","10310","03/12/2025","03/12/2025","03/12/2025","12/31/2026",,"1345745",,"POINT (-74.12212 40.63415)"
"0340-23-130859","Richmond","1","0340","Restaurant","GINOS DEMONTEPERTUSO PIZZERIA & RESTAURANT INC",,"2811 RICHMOND AVE",,"STATEN ISLAND","New York","10314","06/23/2025","06/23/2025","07/01/2025","06/30/2027",,"1043292",,"POINT (-74.16919 40.5784)"
"0340-23-138830","Richmond","1","0340","Restaurant","1674 RICHMOND ROAD CORP","Cantina Valencia","1674 1676 RICHMOND RD","AKA: 1674-1696 RICHMOND RD","STATEN ISLAND","New York","10304","04/11/2025","04/11/2025","04/11/2025","03/31/2027",,"1347552",,"POINT (-74.10163 40.58924)"
"0340-23-128713","Richmond","1","0340","Restaurant","PUB AT PARADISE ISLAND LLC, THE",,"225 ELLIS ST",,"STATEN ISLAND","New York","10307","05/21/2025","05/21/2025","06/01/2025","05/31/2027",,"1347628",,"POINT (-74.24912 40.51542)"
"0340-23-128464","Richmond","1","0340","Restaurant","SHAW-NAE'S HOUSE LLC","SHAW-NAE'S HOUSE","381 VAN DUZER ST",,"STATEN ISLAND","New York","10304","04/28/2025","04/28/2025","05/01/2025","04/30/2027",,"1350078",,"POINT (-74.07988 40.62878)"
"0340-23-128570","Richmond","1","0340","Restaurant","MUNSON OF STATEN ISLAND WINGS LLC","BUFFALO WILD WINGS","1447 RICHMOND AVE",,"STATEN ISLAND","New York","10314","04/18/2025","04/18/2025","05/01/2025","04/30/2027",,"1349936",,"POINT (-74.15844 40.61205)"
"0340-23-130727","Richmond","1","0340","Restaurant","JADE ISLAND RESTAURANT INC",,"2845 RICHMOND AVENUE",,"STATEN ISLAND","New York","10314","01/14/2025","01/14/2025","03/01/2025","02/28/2027",,"1043296",,"POINT (-74.16875 40.57625)"
"0340-25-101250","Richmond","1","0340","Restaurant","Rustic Pizza and Pasteria LLC","Rustic Pizza","1789 Richmond Rd",,"Staten Island","New York","10306","01/22/2025","01/22/2025","01/22/2025","12/31/2026",,"6050669",,"POINT (-74.10444 40.58684)"
"0340-23-128839","Richmond","1","0340","Restaurant","369 DOCK SIDE CORP","COLE'S DOCK SIDE","369 CLEVELAND AVE",,"STATEN ISLAND","New York","10308","06/13/2025","06/13/2025","07/01/2025","06/30/2027",,"1352672",,"POINT (-74.1426 40.54257)"
"0340-23-130590","Richmond","1","0340","Restaurant","MELLO BISTRO CORP",,"1233 BAY ST",,"STATEN ISLAND","New York","10305","05/09/2025","05/09/2025","06/01/2025","05/31/2027",,"1353510",,"POINT (-74.06549 40.61322)"
"0340-23-137234","Richmond","1","0340","Restaurant","CANTINA MEXICANA INC",,"140 NEW DORP LN",,"STATEN ISLAND","New York","10306","05/21/2025","05/21/2025","06/01/2025","05/31/2027",,"1253553",,"POINT (-74.11598 40.57379)"
"0340-23-127278","Richmond","1","0340","Restaurant","PUJA RESTAURANT INC","TASTE OF INDIA II","287 NEW DORP LANE",,"STATEN ISLAND","New York","10306","06/17/2025","06/17/2025","08/01/2025","07/31/2027",,"1043147",,"POINT (-74.1128 40.5721)"
"0340-23-135234","Richmond","1","0340","Restaurant","MIZU JAPANESE RESTAURANT OF SI INC","MIZU HIBACHI STEAK HOUSE","240 PAGE AVE STE 117",,"STATEN ISLAND","New York","10307","04/01/2025","04/01/2025","05/01/2025","04/30/2027",,"1284188",,"POINT (-74.23563 40.51771)"
"0340-23-128751","Richmond","1","0340","Restaurant","AMBOY SUSHI CORP","YOSUKI SUSHI","6410 AMBOY RD","STORE #130","STATEN ISLAND","New York","10309","12/02/2024","12/02/2024","01/01/2025","12/31/2026",,"1345309",,"POINT (-74.21546 40.5216)"
"0340-25-110956","Richmond","1","0340","Restaurant","Fortunato MMM LLC","Tutto Apposto","31 Page Ave",,"Staten Island","New York","10309","05/20/2025","05/20/2025","05/20/2025","04/30/2027",,"6060583",,"POINT (-74.2346 40.5236)"
"0340-23-134119","Richmond","1","0340","Restaurant","JPS ARTHUR KILL RD BAKERY CORP","AUNT BUTCHIE S OF BROOKLYN","4864 ARTHUR KILL RD UNITS 103",,"STATEN ISLAND","New York","10309","02/19/2025","02/19/2025","03/01/2025","02/28/2027",,"1251522",,"POINT (-74.23872 40.52349)"
"0340-23-133694","Richmond","1","0340","Restaurant","Z TWO DINER & LOUNGE INC","Z - TWO","2925 VETERANS ROAD WEST",,"STATEN ISLAND","New York","10309","06/13/2025","06/13/2025","07/01/2025","06/30/2027",,"1244627",,"POINT (-74.23061 40.5277)"
"0340-23-132222","Richmond","1","0340","Restaurant","Chipotle Mexican Grill of Colorado, LLC","CHIPOTLE MEXICAN GRILL #2308","2602 HYLAN BLVD",,"STATEN ISLAND","New York","10306","02/26/2025","02/26/2025","03/01/2025","02/28/2027",,"1296685",,"POINT (-74.11175 40.56793)"
"0340-23-137400","Richmond","1","0340","Restaurant","WEST SHORE INN OF S I INC, THE",,"3955 VICTORY BLVD",,"STATEN ISLAND","New York","10314","07/28/2025","07/28/2025","08/01/2025","07/31/2027",,"1255036",,"POINT (-74.18654 40.59413)"
"0340-23-130014","Richmond","1","0340","Restaurant","CAMPANIA BUEL LLC","CAMPANIA COAL FIRED PIZZA","1801 HYLAN BLVD",,"STATEN ISLAND","New York","10305","02/18/2025","02/18/2025","04/01/2025","03/31/2027",,"1320818",,"POINT (-74.09354 40.58512)"
"0340-23-130856","Richmond","1","0340","Restaurant","RAB & DEE BOWLING INC","RABS COUNTRY LANES","1600 HYLAN BLVD",,"STATEN ISLAND","New York","10305","01/15/2025","01/15/2025","02/01/2025","01/31/2027",,"1043098",,"POINT (-74.08861 40.58881)"
"0340-23-130858","Richmond","1","0340","Restaurant","THE ROAD HOUSE, INC.",,"1400 1402 CLOVE ROAD",,"STATEN ISLAND","New York","10301","02/27/2025","02/27/2025","03/01/2025","02/28/2027",,"1043322",,"POINT (-74.10059 40.61319)"
"0340-23-133747","Richmond","1","0340","Restaurant","PIER 76 INC","PIER 76 INC","76 BAY STREET","STUYVESANT PLACE AND BAY ST","STATEN ISLAND","New York","10301","09/30/2025","09/30/2025","10/01/2025","09/30/2027",,"1222275",,"POINT (-74.07558 40.64012)"
"0340-23-127372","Richmond","1","0340","Restaurant","GREAT KILLS MARINA CAFE INC","MARINA CAFE","154 MANSION AVE",,"STATEN ISLAND","New York","10308","02/14/2025","02/14/2025","03/01/2025","02/28/2027",,"1043189",,"POINT (-74.14075 40.54425)"
"0340-23-135004","Richmond","1","0340","Restaurant","PATRIZIAS OF STATEN ISLAND LLC","PATRIZIAS OF STATEN ISLAND","4255 AMBOY RD",,"STATEN ISLAND","New York","10308","04/08/2025","04/08/2025","04/08/2025","03/31/2027",,"1268340",,"POINT (-74.15795 40.5475)"
"0340-23-135506","Richmond","1","0340","Restaurant","JOE & PAT'S PIZZERIA & RESTAURANT LLC","JOE & PAT'S","1756B 1756C 1758 VICTORY BLVD",,"STATEN ISLAND","New York","10314","05/21/2025","05/21/2025","06/01/2025","05/31/2027",,"1301762",,"POINT (-74.12204 40.61313)"
"0340-23-136745","Richmond","1","0340","Restaurant","YIORGOS RESTAURANT ENT INC","ANDREW'S DINER","4160 HYLAN BLVD","WALNUT ST & HEINZ AVENUE","STATEN ISLAND","New York","10308","05/20/2025","05/20/2025","05/20/2025","04/30/2027",,"1316175",,"POINT (-74.14914 40.53831)"
"0340-23-136445","Richmond","1","0340","Restaurant","JS ON THE BAY INC",,"1189 BAY ST",,"STATEN ISLAND","New York","10305","04/03/2025","04/03/2025","04/03/2025","03/31/2027",,"1345836",,"POINT (-74.06626 40.61426)"
"0340-23-128659","Richmond","1","0340","Restaurant","NORI SAKE BAR INC","NORI YAKITORI AND RAMEN","900 HYLAN BLVD",,"STATEN ISLAND","New York","10305","03/24/2025","03/24/2025","04/01/2025","03/31/2027",,"1348058",,"POINT (-74.07279 40.5982)"
"0340-24-139635","Richmond","1","0340","Restaurant","ACL Hospitality Corp","Bella Mama Rose","266 Morningstar Rd",,"Staten Island","New York","10303","12/20/2024","12/20/2024","12/20/2024","11/30/2026",,"6048526",,"POINT (-74.1467 40.63178)"
"0340-23-128304","Richmond","1","0340","Restaurant","ALFONSOS CANTINA INC","ALFONSO'S CANTINA","3295 AMBOY RD","STORE 8,9, &10","STATEN ISLAND","New York","10309","06/23/2025","06/23/2025","07/01/2025","06/30/2027",,"1352706",,"POINT (-74.13549 40.56101)"
"0340-23-131843","Richmond","1","0340","Restaurant","SOUTH FIN GRILL LLC",,"300 FATHER CAPODANNO BVD","SOUTH BEACH RECREATTION AREA","STATEN ISLAND","New York","10305","05/14/2025","05/14/2025","06/01/2025","05/31/2027",,"1160828",,"POINT (-74.06725 40.58969)"
